ID_NODO,POBTOT
0021,248
0021,45
0021,9
0021,6
0021,13
0021,23
0021,32
0021,8
0021,8
0021,10
0021,14
0021,19
0021,8
0021,13
0021,14
0021,26
0036,389
0036,40
0036,7
0036,15
0036,103
0036,7
0036,41
0036,3
0036,46
0036,63
0036,25
0036,3
0036,6
0036,10
0036,2
0036,8
0036,3
0036,5
0036,2
020A,494
020A,7
020A,6
020A,10
020A,23
020A,10
020A,20
020A,9
020A,4
020A,11
020A,1
020A,16
020A,34
020A,3
020A,8
020A,14
020A,15
020A,3
020A,3
020A,16
020A,11
020A,8
020A,8
020A,20
020A,27
020A,24
020A,7
020A,14
020A,17
020A,25
020A,7
020A,15
020A,5
020A,9
020A,17
020A,20
020A,26
020A,8
020A,13
0214,1009
0214,10
0214,33
0214,18
0214,18
0214,30
0214,5
0214,19
0214,40
0214,41
0214,23
0214,14
0214,3
0214,6
0214,41
0214,9
0214,13
0214,27
0214,25
0214,11
0214,17
0214,23
0214,6
0214,8
0214,24
0214,18
0214,13
0214,24
0214,17
0214,8
0214,9
0214,19
0214,35
0214,28
0214,20
0214,25
0214,34
0214,29
0214,26
0214,11
0214,4
0214,7
0214,50
0214,25
0214,30
0214,26
0214,24
0214,22
0214,28
0214,13
0229,1338
0229,38
0229,73
0229,75
0229,1
0229,6
0229,20
0229,39
0229,56
0229,39
0229,69
0229,81
0229,20
0229,32
0229,9
0229,85
0229,36
0229,10
0229,79
0229,64
0229,97
0229,79
0229,68
0229,73
0229,61
0229,56
0229,20
0229,5
0229,7
0229,19
0229,15
0229,6
0233,831
0233,15
0233,28
0233,16
0233,41
0233,18
0233,10
0233,18
0233,4
0233,17
0233,34
0233,11
0233,8
0233,19
0233,25
0233,7
0233,36
0233,8
0233,10
0233,18
0233,3
0233,9
0233,9
0233,16
0233,15
0233,9
0233,11
0233,20
0233,22
0233,17
0233,34
0233,10
0233,18
0233,24
0233,17
0233,14
0233,9
0233,23
0233,17
0233,23
0233,20
0233,9
0233,6
0233,11
0233,13
0233,2
0233,9
0233,10
0233,9
0233,8
0233,14
0233,7
0233,2
0233,8
0233,15
0233,2
0233,5
0233,9
0233,9
038A,1211
038A,16
038A,100
038A,68
038A,71
038A,5
038A,19
038A,152
038A,40
038A,25
038A,21
038A,14
038A,21
038A,7
038A,117
038A,41
038A,64
038A,11
038A,10
038A,53
038A,16
038A,13
038A,21
038A,21
038A,276
038A,9
0394,1131
0394,22
0394,25
0394,6
0394,307
0394,61
0394,8
0394,69
0394,59
0394,36
0394,16
0394,25
0394,39
0394,72
0394,27
0394,99
0394,14
0394,50
0394,55
0394,13
0394,56
0394,10
0394,37
0394,25
0411,1920
0411,32
0411,64
0411,54
0411,21
0411,16
0411,25
0411,58
0411,11
0411,53
0411,80
0411,52
0411,33
0411,46
0411,105
0411,86
0411,177
0411,63
0411,28
0411,86
0411,44
0411,138
0411,46
0411,41
0411,65
0411,54
0411,95
0411,29
0411,25
0411,60
0411,46
0411,19
0411,16
0411,74
0411,16
0411,26
0411,4
0411,7
0411,20
0411,5
0464,1787
0464,110
0464,44
0464,48
0464,30
0464,10
0464,23
0464,33
0464,7
0464,54
0464,31
0464,19
0464,18
0464,70
0464,85
0464,62
0464,22
0464,53
0464,42
0464,14
0464,9
0464,199
0464,70
0464,11
0464,58
0464,4
0464,68
0464,37
0464,217
0464,254
0464,50
0464,34
0464,1
0765,1782
0765,8
0765,47
0765,31
0765,17
0765,31
0765,51
0765,40
