ID_NODO,POBTOT
1842,11397
254A,9704
3251,8810
3497,7710
1804,7690
1965,7552
1645,7410
3834,6887
2982,6787
3853,6269
3868,6165
172A,6112
329A,5926
1344,5728
2677,5691
2662,5687
2323,5568
1541,5512
2291,5503
2535,5259
2910,5251
0257,5198
2588,5186
4264,5161
3798,5048
2643,5022
1946,4980
1433,4962
1753,4951
350A,4933
0238,4813
3232,4805
1715,4776
0276,4750
2427,4729
3143,4728
2234,4689
3800,4680
2696,4675
3035,4622
2431,4567
4550,4443
336A,4430
3694,4418
2342,4355
2450,4284
2395,4258
2249,4254
1908,4239
2412,4229
2855,4191
2821,4181
2287,4114
3660,4103
3849,4092
3711,4068
3336,4048
3482,3996
3088,3975
3228,3897
3181,3887
2605,3885
2075,3878
3548,3855
2198,3842
3707,3814
1880,3773
2338,3753
3726,3749
3247,3702
2446,3656
293A,3636
2376,3621
2889,3609
247A,3548
3196,3534
2272,3530
2893,3529
2268,3491
1927,3472
3139,3472
2817,3443
1772,3436
2408,3425
286A,3418
2380,3369
3552,3336
3374,3324
1518,3308
2357,3302
1594,3284
3675,3215
3073,3213
2906,3178
3641,3140
208A,3138
3533,3107
2963,3096
3092,3091
3302,3087
3923,3082
3514,3081
2037,3077
2041,3048
2499,3026
2959,2975
2484,2916
2215,2901
1950,2863
0172,2796
2145,2765
3656,2745
2111,2743
3478,2742
3355,2739
3177,2733
0168,2725
2107,2711
2925,2699
3020,2698
4141,2652
3586,2643
2060,2626
2681,2622
2944,2594
012A,2588
3463,2578
1912,2577
3158,2577
2592,2568
3567,2563
2253,2531
1787,2524
2179,2498
2304,2490
3637,2478
3571,2474
0261,2473
1749,2471
2709,2457
2094,2425
4461,2402
4601,2367
4298,2280
3745,2268
2658,2253
3001,2190
3815,2100
222A,2093
3069,2090
382A,2083
2200,2043
2319,2030
2056,2014
311A,2005
0219,2003
3622,2001
1984,1991
3459,1989
0187,1986
1895,1932
4423,1926
215A,1867
514A,1825
4156,1815
2183,1801
4781,1695
3266,1687
2018,1679
4917,1651
343A,1637
3730,1572
3529,1570
3618,1535
197A,1530
261A,1499
3124,1498
4480,1482
5154,1480
304A,1442
3105,1372
5347,1370
4777,1309
0223,1288
2003,1232
3054,1207
4419,1195
2164,1168
3942,1162
5436,1095
4175,1092
5008,1062
5370,1055
1999,978
5614,978
4194,956
4495,949
546A,941
4283,908
2111,859
4090,843
3849,815
172A,794
4902,789
5421,772
4565,766
5351,764
5224,756
4372,755
5050,694
5506,691
5474,688
5493,678
5012,675
2910,668
279A,655
5173,655
521A,649
3088,640
432A,636
4616,629
5582,629
2022,571
5296,571
3374,549
3637,538
3020,533
0257,528
2982,527
0238,517
3849,516
3228,513
2107,501
2696,501
553A,490
5455,489
2662,488
3603,487
2408,485
4334,478
2412,476
5563,474
2893,467
1880,455
2431,451
0261,448
1715,447
5559,431
1965,427
1965,426
3726,424
336A,421
215A,419
1594,414
3139,414
336A,412
3374,411
5366,408
3497,405
336A,399
5192,397
329A,396
3868,396
1950,394
1946,393
4264,393
3035,389
3798,388
329A,384
4762,382
3406,379
3035,378
3656,378
2910,374
2817,372
2111,371
336A,371
2662,370
2145,369
3336,364
1645,363
2910,362
1927,360
2431,358
2380,356
2709,356
1645,355
1645,351
1965,351
2677,349
286A,349
5525,348
1927,346
3463,346
2342,344
1946,342
4601,341
1804,340
1804,337
2696,337
2997,336
2287,334
4955,334
382A,332
4071,330
2427,329
1293,327
254A,326
2677,326
3798,326
4368,323
1842,320
1645,318
3232,317
1753,316
3020,316
2677,313
0257,311
3694,311
293A,309
350A,309
3853,309
4118,309
1965,308
2643,308
2037,306
1965,305
2041,305
5281,305
0257,304
0276,304
1749,304
3887,304
1645,303
1645,303
208A,303
3497,303
3285,302
3552,301
1753,300
2249,299
2643,298
3228,297
2094,296
2709,296
1753,295
3073,294
1804,293
3139,292
1984,291
1344,290
1645,290
1433,289
375A,288
1645,285
2291,285
158A,284
247A,284
1965,282
286A,282
311A,282
5065,282
3800,281
1965,280
3105,280
4298,280
1645,279
3228,279
2499,278
3001,278
3001,278
3374,278
3800,277
2342,276
3478,275
3088,274
4160,274
197A,273
2431,273
1965,272
1772,271
2037,268
1753,267
1804,266
2107,266
2179,265
2234,265
2605,265
2624,265
2963,265
3694,265
3798,265
2605,264
1645,262
2272,262
0261,261
0261,261
3374,261
2287,260
2342,260
336A,260
329A,259
3800,259
3800,259
2643,258
1842,257
3232,257
2198,256
2215,256
261A,256
5188,256
3853,255
5489,255
3092,252
5578,252
0308,251
254A,250
2588,250
2963,250
0257,249
1753,249
2198,249
4103,249
1880,248
2412,247
2484,247
3694,247
2380,246
2643,246
1433,245
1753,245
1804,245
1880,245
2249,245
3707,245
3711,245
3800,245
3035,244
3302,244
3482,244
3707,244
0242,243
1946,243
2272,243
2450,243
2681,243
3641,243
3336,242
4298,242
208A,241
2234,241
2408,241
2910,241
3660,241
2662,240
3088,240
3196,240
3355,240
1772,239
3868,238
5510,238
1804,236
2431,236
350A,236
3726,236
1804,235
3139,235
4419,235
1753,234
2450,234
3567,234
3711,234
3001,233
2249,232
2272,232
2395,232
254A,232
2696,231
3232,231
3463,231
0238,230
2817,230
3143,230
3567,230
2037,229
2412,229
3232,229
1749,228
247A,228
3247,228
3444,228
350A,228
3088,227
0261,226
1908,226
2427,226
286A,226
0204,225
2268,225
2376,225
2535,225
2944,225
3834,224
2893,223
3478,223
254A,222
2681,222
3139,222
3800,222
2291,221
1645,220
1946,220
2179,220
2287,220
2605,220
2662,220
2662,220
3228,220
3478,220
3514,220
3707,220
1541,219
1804,219
2412,219
2450,219
3482,219
3923,219
4156,219
2198,218
2272,218
2696,218
3073,218
1880,217
2408,217
2450,217
254A,217
1965,216
3923,216
1965,215
2408,215
3232,215
3302,215
3374,215
3853,215
2003,214
2855,214
336A,214
5173,214
0308,213
158A,213
1753,213
2291,213
2925,213
2925,213
3088,213
1293,212
2075,212
2323,212
3158,212
4442,212
172A,211
172A,211
2037,211
2944,211
329A,211
3336,211
3726,211
1518,210
2323,210
2427,210
3073,210
3092,210
2041,209
2323,209
2376,209
2484,209
2681,209
3497,209
3853,209
2272,208
2855,208
3228,208
3660,208
382A,208
3834,208
0238,207
1541,207
2234,207
2427,207
3105,207
3158,207
3478,207
3694,207
3834,207
1645,206
2323,206
2855,206
2855,206
2910,206
4601,206
489A,206
5544,206
2450,205
254A,205
261A,205
3228,205
3302,205
3497,205
3783,205
3923,205
2535,204
2588,204
3730,204
2018,203
254A,203
2592,203
2662,203
3707,203
1433,202
1518,202
2075,202
2287,202
2291,202
2408,202
2605,202
336A,202
3707,202
1541,201
3092,201
3143,201
4917,201
5154,201
0308,200
2408,200
247A,200
3035,200
3514,200
3586,200
4550,200
1908,199
1908,199
1984,199
2018,199
2427,199
2499,199
3853,199
4550,199
0242,198
1880,198
2198,198
2855,198
2893,198
2963,198
3088,198
3637,198
3800,198
4300,198
0168,197
1908,197
2075,197
2253,197
2291,197
2380,197
2427,197
3073,197
4601,197
1344,196
1965,196
2234,196
2605,196
2982,196
3336,196
3745,196
172A,195
1895,195
208A,195
2215,195
2323,195
2431,195
2944,195
1433,194
2200,194
2677,194
2910,194
3073,194
3092,194
3247,194
3726,194
3834,194
4442,194
1908,193
1946,193
2272,193
2376,193
2427,193
2450,193
2855,193
3711,193
3798,193
3834,193
4550,193
5154,193
0257,192
1645,192
2376,192
2427,192
2605,192
2677,192
3054,192
3707,192
1753,191
208A,191
3092,191
3374,191
3694,191
3711,191
3834,191
3923,191
0308,190
1804,190
286A,190
3302,190
3302,190
3660,190
3675,190
3853,190
4156,190
1772,189
1880,189
2376,189
2408,189
2412,189
2446,189
3228,189
3355,189
350A,189
3622,189
3711,189
1541,188
1946,188
2037,188
2588,188
2662,188
3088,188
3514,188
3834,188
1541,187
1645,187
2107,187
2376,187
2446,187
2450,187
293A,187
3035,187
3139,187
3711,187
3800,187
3834,187
1293,186
1908,186
1912,186
1912,186
1946,186
2234,186
2395,186
2408,186
2431,186
2643,186
3158,186
3302,186
3482,186
3497,186
3711,186
3853,186
2395,185
2450,185
2588,185
329A,185
350A,185
3622,185
3853,185
4071,185
1804,184
2249,184
2287,184
2910,184
3139,184
3143,184
3641,184
3675,184
3923,184
0257,183
2588,183
2662,183
2677,183
3035,183
3711,183
4175,183
0257,182
0276,182
158A,182
2342,182
2376,182
2450,182
254A,182
2588,182
3853,182
4141,182
172A,181
1804,181
2198,181
2535,181
3035,181
3143,181
3571,181
3834,181
3834,181
1842,180
2041,180
208A,180
2395,180
2588,180
3073,180
3088,180
3459,180
3660,180
3745,180
172A,179
172A,179
1895,179
2075,179
3143,179
350A,179
3800,179
4601,179
0238,178
2323,178
2588,178
3143,178
3266,178
336A,178
432A,178
5116,178
0261,177
158A,177
1645,177
1842,177
2234,177
2484,177
2535,177
2963,177
3247,177
3745,177
3834,177
3849,177
3853,177
2215,176
2446,176
3158,176
3336,176
3463,176
3641,176
3798,176
4368,176
1645,175
1804,175
1984,175
2094,175
2215,175
2323,175
2357,175
2395,175
3232,175
3336,175
3618,175
3660,175
3707,175
3834,175
3849,175
3868,175
172A,174
261A,174
3656,174
3711,174
1715,173
2272,173
2291,173
2376,173
3139,173
343A,173
3834,173
3853,173
1965,172
1965,172
3618,172
3798,172
4298,172
1414,171
158A,171
1912,171
2198,171
2249,171
2484,171
3660,171
3726,171
0261,170
1772,170
2431,170
2535,170
2535,170
2605,170
2643,170
2963,170
2982,170
3355,170
3586,170
3800,170
4264,170
432A,170
0219,169
1965,169
2272,169
2287,169
2287,169
2338,169
2643,169
2658,169
329A,169
3302,169
350A,169
3656,169
382A,169
4141,169
0257,168
1414,168
1518,168
1541,168
1842,168
2198,168
2588,168
2963,168
3073,168
3497,168
3586,168
3656,168
3660,168
3798,168
3834,168
3853,168
4550,168
172A,167
1753,167
2287,167
2338,167
2431,167
2709,167
3035,167
3035,167
3251,167
3336,167
3514,167
3745,167
1715,166
1842,166
2323,166
2412,166
2535,166
3228,166
329A,166
3529,166
3800,166
3868,166
5224,166
1842,165
2060,165
2060,165
2075,165
2234,165
2291,165
2323,165
2338,165
2357,165
2395,165
3092,165
329A,165
329A,165
329A,165
3336,165
350A,165
3586,165
3853,165
0168,164
1842,164
2075,164
2234,164
2249,164
2323,164
2342,164
2499,164
2605,164
2658,164
2709,164
3143,164
3834,164
3868,164
1908,163
2018,163
2060,163
2075,163
2234,163
2249,163
2249,163
2287,163
2338,163
254A,163
2963,163
3001,163
3035,163
3092,163
3497,163
3552,163
3675,163
3726,163
3834,163
4156,163
2164,162
2249,162
2323,162
2446,162
2535,162
254A,162
2605,162
2643,162
2709,162
2889,162
3548,162
3726,162
3868,162
1842,161
2198,161
2215,161
2291,161
2323,161
2338,161
2499,161
2681,161
3181,161
329A,161
350A,161
3548,161
3660,161
3694,161
3798,161
3800,161
4175,161
5559,161
1912,160
1965,160
2111,160
2234,160
2249,160
2291,160
2304,160
2323,160
2412,160
2484,160
2588,160
2821,160
329A,160
336A,160
3798,160
3868,160
3923,160
